# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
wo ti qian 	我提前	c=1 d=3.20037e-09 t=20166
wo tiao zheng le yi xia 	我調整了一下	c=1 d=4.5383e-30 t=20166
wo ting 	我聽	c=1 d=0.000349997 t=20166
wo ting de 	我聽的	c=1 d=0.00351752 t=20166
wo tong xue 	我同學	c=2 d=2.4847e-18 t=20166
wo tui chu 	我退出	c=1 d=3.64467e-09 t=20166
wo wei yi 	我唯一	c=1 d=1.43109e-11 t=20166
wo wen le 	我問了	c=1 d=8.11274e-11 t=20166
wo wen wen 	我問問	c=1 d=0.0466538 t=20166
wo wen wen kan 	我問問看	c=2 d=0.0422141 t=20166
wo xia 	我下	c=1 d=2.51442e-24 t=20166
wo xia qu 	我下去	c=1 d=2.04064e-09 t=20166
wo xian 	我先	c=2 d=0.0230521 t=20166
wo xian ma fan 	我先麻煩	c=1 d=4.96923e-09 t=20166
wo xian zai 	我現在	c=8 d=0.117074 t=20166
wo xiang 	我想	c=2 d=0.000607334 t=20166
wo xiang dao le 	我想到了	c=1 d=4.21338e-09 t=20166
wo xiang xin 	我相信	c=1 d=0.0211736 t=20166
wo xiang yao 	我想要	c=1 d=3.99687e-06 t=20166
wo xu 	我許	c=1 d=0.00559994 t=20166
wo xu yao 	我需要	c=1 d=2.31913e-14 t=20166
wo yao 	我要	c=2 d=0.00960953 t=20166
wo yao de 	我要的	c=1 d=2.1471e-19 t=20166
wo yao dian 	我要點	c=1 d=3.77321e-05 t=20166
wo yao shi 	我要是	c=2 d=0.000471307 t=20166
wo ye 	我也	c=6 d=0.0340495 t=20166
wo ye bu zhi dao 	我也不知道	c=1 d=1.40251e-09 t=20166
wo ye da suan 	我也打算	c=1 d=9.63245e-31 t=20166
wo ye hao xiang 	我也好像	c=1 d=0.0495388 t=20166
wo ye mei 	我也沒	c=1 d=2.5428e-09 t=20166
wo ye qu 	我也去	c=1 d=2.11183e-30 t=20166
wo ye shi 	我也是	c=1 d=2.18861e-09 t=20166
wo ye zai 	我也在	c=2 d=7.44912e-07 t=20166
wo ye zhi neng 	我也只能	c=1 d=2.49287e-11 t=20166
wo ye zuo wan le 	我也做完了	c=1 d=6.30404e-14 t=20166
wo yi ban 	我一般	c=1 d=9.70249e-28 t=20166
wo yi jing 	我已經	c=1 d=0.0617291 t=20166
wo yi qian 	我以前	c=2 d=3.78752e-20 t=20166
wo yi shi dao 	我意識到	c=1 d=0.302704 t=20166
wo yi wei 	我以爲	c=4 d=6.51281e-11 t=20166
wo yin xiang 	我印象	c=1 d=2.67918e-06 t=20166
wo yong 	我用	c=1 d=6.28349e-05 t=20166
wo you 	我有	c=2 d=0.0116786 t=20166
wo you dian 	我有點	c=1 d=1.98992e-07 t=20166
wo you ge 	我有個	c=1 d=1.42541e-23 t=20166
wo you qian 	我有錢	c=1 d=9.90893e-11 t=20166
wo yuan 	我願	c=1 d=0.0349094 t=20166
wo zai 	我再	c=3 d=0.00166156 t=20166
wo zai 	我在	c=6 d=9.12037e-06 t=20166
wo zai de na ge 	我在的那個	c=1 d=2.44642e-25 t=20166
wo zai gong si 	我在公司	c=1 d=8.45821e-31 t=20166
wo zai xiang 	我在想	c=2 d=5.30206e-07 t=20166
wo zao shang 	我早上	c=2 d=4.56275e-05 t=20166
wo zen me 	我怎麼	c=1 d=1.12264e-08 t=20166
wo zhe 	我這	c=2 d=0.00726273 t=20166
wo zhe bian 	我這邊	c=4 d=0.010358 t=20166
wo zhe bian ba 	我這邊吧	c=1 d=2.82576e-15 t=20166
wo zhe ge 	我這個	c=1 d=5.30296e-09 t=20166
wo zhi dao 	我知道	c=4 d=0.000174253 t=20166
wo zhi jie 	我直接	c=1 d=6.6079e-09 t=20166
wo zhi qian 	我之前	c=1 d=1.8102e-11 t=20166
wo zhu yi dao 	我注意到	c=1 d=0.718924 t=20166
wo zi ji 	我自己	c=2 d=0.540714 t=20166
wo zong jie 	我總結	c=1 d=3.30918e-20 t=20166
wo zuo 	我做	c=1 d=1.21049e-12 t=20166
wo zuo tian 	我昨天	c=9 d=3.6838e-05 t=20166
wo zuo wan 	我做完	c=1 d=3.98438e-28 t=20166
wo zuo wan le 	我做完了	c=1 d=2.66809e-16 t=20166
wu 	五	c=0 d=3.29952e-16 t=20166
wu 	吳	c=2 d=5.26816e-18 t=20166
wu 	無	c=1 d=0.00196865 t=20166
wu cha 	誤差	c=7 d=4.57875e-09 t=20166
wu dian ban 	五點半	c=1 d=3.31606e-15 t=20166
wu fa 	無法	c=4 d=1.52274e-07 t=20166
wu fa zai 	無法在	c=1 d=1.53037e-06 t=20166
wu ge 	五個	c=1 d=4.75058e-09 t=20166
wu guan 	無關	c=1 d=0.0480747 t=20166
wu jian du 	無監督	c=1 d=0.000119165 t=20166
wu li 	物理	c=1 d=1.17226e-10 t=20166
wu li ji 	物理機	c=1 d=1.10059e-10 t=20166
wu li yi 	吳理義	c=0 d=5.84456e-07 t=20166
wu li yi yi 	吳理義一	c=1 d=5.87385e-06 t=20166
wu qin ru 	無侵入	c=1 d=0.00184551 t=20166
wu qing 	吳慶	c=8 d=0.258517 t=20166
wu shi 	五事	c=0 d=0.000304273 t=20166
wu shi ke zuo 	五事可做	c=1 d=0.00305798 t=20166
wu suo wei 	無所謂	c=1 d=0.0217096 t=20166
wu suo wei le 	無所謂了	c=1 d=4.53058e-10 t=20166
wu wu wu 	嗚嗚嗚	c=4 d=1.2431e-18 t=20166
wu xian 	無線	c=0 d=0.000232276 t=20166
wu xian chong dian 	無線充電	c=1 d=0.0023344 t=20166
wu xiu 	午休	c=1 d=8.29523e-08 t=20166
wu yi wei 	誤以爲	c=1 d=9.17233e-14 t=20166
wu yi yi 	無意義	c=1 d=0.000898306 t=20166
wu yong zhi yi 	毋庸置疑	c=1 d=3.34653e-05 t=20166
wu zi li 	屋子裏	c=1 d=2.30874e-20 t=20166
xi 	洗	c=1 d=4.61646e-25 t=20166
xi 	系	c=1 d=0.0522046 t=20166
xi 	細	c=1 d=6.83607e-26 t=20166
xi an 	西安	c=2 d=0.00103848 t=20166
xi bo li ya 	西伯利亞	c=2 d=0.979947 t=20166
xi di 	洗滌	c=1 d=4.6396e-25 t=20166
xi fang 	西方	c=1 d=0.467666 t=20166
xi guan 	習慣	c=2 d=8.15063e-07 t=20166
xi guan de li liang 	習慣的力量	c=1 d=8.54786e-08 t=20166
xi huan 	喜歡	c=8 d=0.00213881 t=20166
xi huan ma 	喜歡嗎	c=1 d=0.000257369 t=20166
xi huan yong 	喜歡用	c=1 d=1.24994e-07 t=20166
xi jie 	細節	c=5 d=1.63741e-07 t=20166
xi la 	希臘	c=4 d=4.6544e-06 t=20166
xi la zi mu 	希臘字母	c=2 d=4.79758e-06 t=20166
xi li du 	細粒度	c=1 d=1.16322e-14 t=20166
xi lie 	系列	c=8 d=5.10546e-06 t=20166
xi shou 	吸收	c=0 d=2.91736e-09 t=20166
xi shu 	係數	c=4 d=5.64546e-10 t=20166
xi tong 	系統	c=46 d=0.235738 t=20166
xi tong li mian 	系統裏面	c=1 d=3.7183e-09 t=20166
xi tong xi 	系統系	c=1 d=0.524663 t=20166
xi tong xing 	系統性	c=1 d=0.543351 t=20166
xi wang 	希望	c=2 d=2.45492e-07 t=20166
xi xi 	嘻嘻	c=1 d=3.83219e-11 t=20166
xi yan 	吸菸	c=1 d=5.73761e-24 t=20166
xia 	下	c=20 d=0.86437 t=20166
xia 	瞎	c=0 d=1.17391e-05 t=20166
xia ban 	下班	c=3 d=0.647265 t=20166
xia ban dian 	下班點	c=1 d=1.53433e-07 t=20166
xia ban le 	下班了	c=3 d=0.101774 t=20166
xia ban le ma 	下班了嗎	c=1 d=2.85464e-17 t=20166
xia biao 	下標	c=1 d=7.13104e-23 t=20166
xia che 	下車	c=1 d=5.44462e-25 t=20166
xia ci 	下次	c=2 d=0.0145524 t=20166
xia da yu 	下大雨	c=1 d=2.95632e-17 t=20166
xia dan xin 	瞎擔心	c=1 d=0.000117979 t=20166
xia fang 	下方	c=1 d=1.39168e-06 t=20166
xia gong fu 	下工夫	c=1 d=7.73837e-14 t=20166
xia ji 	下級	c=1 d=2.1287e-06 t=20166
xia jiang 	下降	c=8 d=0.0024258 t=20166
xia lai 	下來	c=7 d=0.00873978 t=20166
xia lai zai shuo 	下來再說	c=1 d=1.61855e-18 t=20166
xia le 	下了	c=1 d=4.64844e-18 t=20166
xia le ge 	下了個	c=1 d=2.06614e-08 t=20166
xia liu 	下流	c=1 d=5.15325e-25 t=20166
xia lou 	下樓	c=1 d=0.822835 t=20166
xia mian 	下面	c=9 d=0.909373 t=20166
xia mian de 	下面的	c=1 d=3.70605e-29 t=20166
xia pi 	下皮	c=1 d=1.07083e-11 t=20166
xia qu 	下去	c=1 d=7.34571e-19 t=20166
xia shou 	下手	c=1 d=2.88186e-11 t=20166
xia shuo 	瞎說	c=1 d=3.36445e-09 t=20166
xia wu 	下午	c=2 d=1.36138e-18 t=20166
xia wu ba 	下午吧	c=1 d=9.25821e-21 t=20166
xia yi bu 	下一步	c=8 d=0.00200924 t=20166
xia yi ci 	下一次	c=1 d=1.01091e-10 t=20166
xia yi ge 	下一個	c=1 d=0.000587285 t=20166
xia yu le 	下雨了	c=1 d=3.63143e-25 t=20166
xia zai 	下載	c=9 d=0.00577048 t=20166
xia zai xia lai 	下載下來	c=1 d=8.34107e-14 t=20166
xia zhou 	下週	c=0 d=2.0016e-18 t=20166
xia zhou wu 	下週五	c=1 d=1.91352e-17 t=20166
xian 	先	c=13 d=0.00975476 t=20166
xian 	現	c=1 d=4.65081e-24 t=20166
xian 	線	c=6 d=0.000433131 t=20166
xian 	閒	c=1 d=2.03358e-27 t=20166
xian cheng 	現成	c=1 d=0.83527 t=20166
xian cheng 	線程	c=3 d=6.31499e-06 t=20166
xian cheng shu 	線程數	c=3 d=6.34664e-05 t=20166
xian de 	顯得	c=1 d=2.26618e-07 t=20166
xian gei ni 	先給你	c=1 d=4.56105e-30 t=20166
xian hou 	先後	c=1 d=6.80313e-28 t=20166
xian kan kan 	先看看	c=1 d=4.28813e-10 t=20166
xian la 	先啦	c=1 d=1.43085e-09 t=20166
xian liao 	閒聊	c=1 d=1.41415e-18 t=20166
xian liu 	限流	c=1 d=2.42918e-30 t=20166
xian lu 	線路	c=2 d=0.15117 t=20166
xian mu 	羨慕	c=3 d=0.0314298 t=20166
xian neng 	先能	c=1 d=2.43464e-27 t=20166
xian qian 	先前	c=2 d=4.78878e-11 t=20166
xian qu 	先去	c=1 d=4.57052e-25 t=20166
xian shang 	線上	c=3 d=5.30116e-05 t=20166
xian shi 	現實	c=8 d=0.228779 t=20166
xian shi 	顯示	c=4 d=2.06303e-06 t=20166
xian suo 	線索	c=3 d=2.11949 t=20166
xian xia 	線下	c=1 d=2.73703e-22 t=20166
xian xiang 	現象	c=4 d=0.29671 t=20166
xian xing 	線性	c=70 d=0.00396759 t=20166
xian xing hui gui 	線性回歸	c=3 d=9.90555e-07 t=20166
xian yi 	嫌疑	c=1 d=3.22913e-26 t=20166
xian yong 	先用	c=1 d=3.95103e-11 t=20166
xian yong zhe 	先用着	c=2 d=8.51175e-10 t=20166
xian you 	現有	c=2 d=0.143704 t=20166
xian you 	鮮有	c=1 d=3.38189e-11 t=20166
xian you ye wu 	現有業務	c=1 d=1.81865e-07 t=20166
xian zai 	現在	c=93 d=2.79695 t=20166
xian zai nong de 	現在弄的	c=1 d=1.71508e-23 t=20166
xian zai ye shi 	現在也是	c=1 d=2.37865e-18 t=20166
xian zhi 	限制	c=7 d=4.6032e-10 t=20166
xian zhi le 	限制了	c=1 d=1.66382e-19 t=20166
xiang 	像	c=13 d=0.0513033 t=20166
xiang 	向	c=7 d=0.0109531 t=20166
xiang 	想	c=22 d=0.0225731 t=20166
xiang 	翔	c=3 d=0.000131041 t=20166
xiang 	響	c=0 d=0.0162026 t=20166
xiang ban fa 	想辦法	c=1 d=6.08825e-16 t=20166
xiang bi 	想必	c=1 d=7.63225e-28 t=20166
xiang bi 	相比	c=2 d=0.000709153 t=20166
xiang bi yu 	相比於	c=2 d=4.08816e-07 t=20166
xiang cong 	想從	c=2 d=2.8431e-10 t=20166
xiang dang yu 	相當於	c=1 d=1.31765e-10 t=20166
xiang dao 	想到	c=2 d=0.319819 t=20166
xiang dui 	相對	c=1 d=0.000122182 t=20166
xiang fa 	想法	c=5 d=0.0236356 t=20166
xiang fan 	相反	c=1 d=0.00012465 t=20166
xiang fan de 	相反地	c=1 d=1.8325e-08 t=20166
xiang ge bu ting 	響個不停	c=1 d=0.162838 t=20166
xiang guan 	相關	c=8 d=0.00222064 t=20166
xiang guan xing 	相關性	c=3 d=4.55311e-23 t=20166
xiang hao 	向好	c=1 d=8.79891e-25 t=20166
xiang hao 	想好	c=1 d=8.84301e-25 t=20166
xiang huan yi ge 	想換一個	c=1 d=4.75058e-09 t=20166
xiang kan 	想看	c=1 d=3.17673e-10 t=20166
xiang kan jian 	想看見	c=1 d=1.10326e-09 t=20166
xiang le ge 	想了個	c=1 d=0.018043 t=20166
xiang liang 	向量	c=3 d=1.04187e-12 t=20166
xiang mai 	想買	c=2 d=3.04328e-05 t=20166
xiang ming 	嚮明	c=4 d=2.38101e-26 t=20166
xiang mu 	項目	c=38 d=0.517666 t=20166
xiang mu li 	項目裏	c=1 d=6.81378e-17 t=20166
xiang mu lie biao 	項目列表	c=1 d=1.10668e-16 t=20166
xiang qi lai 	想起來	c=1 d=1.86628e-17 t=20166
xiang qu 	想去	c=2 d=4.61395e-06 t=20166
xiang rang ni 	想讓你	c=1 d=8.19707e-15 t=20166
xiang shen me 	想什麼	c=1 d=0.000858778 t=20166
xiang shi 	像是	c=1 d=0.955997 t=20166
xiang shuo 	想說	c=2 d=2.42612e-07 t=20166
xiang tong 	相同	c=1 d=1.62136e-09 t=20166
xiang tong 	相通	c=0 d=6.30726e-21 t=20166
xiang tong de 	相通的	c=1 d=6.33888e-20 t=20166
xiang tong guo 	想通過	c=1 d=1.48899e-07 t=20166
xiang wan 	想玩	c=1 d=6.01109e-13 t=20166
xiang wen 	想問	c=1 d=4.25935e-19 t=20166
xiang xi 	詳細	c=3 d=9.66099e-07 t=20166
xiang xiang 	想想	c=7 d=5.30804e-05 t=20166
xiang xiang ban fa 	想想辦法	c=4 d=0.044601 t=20166
xiang xiang kan 	想想看	c=2 d=5.71695e-11 t=20166
xiang xin 	相信	c=2 d=0.83527 t=20166
xiang yao 	想要	c=17 d=0.537542 t=20166
xiang yao de 	想要的	c=1 d=0.279431 t=20166
xiang yao he 	想要和	c=1 d=1.67649e-20 t=20166
xiang yi ge 	像一個	c=1 d=1.4183e-23 t=20166
xiang yi tiao 	像一條	c=1 d=7.77716e-14 t=20166
xiang ying 	相應	c=2 d=2.36648e-06 t=20166
xiang ying 	響應	c=4 d=5.10277e-11 t=20166
xiang ying shi jian 	響應時間	c=1 d=2.64064e-12 t=20166
xiang yong 	想用	c=1 d=2.61436e-12 t=20166
xiang zhao dao 	想找到	c=1 d=8.65317e-05 t=20166
xiang zhe 	向着	c=1 d=2.27902e-44 t=20166
xiang zhe 	想着	c=3 d=2.2049e-08 t=20166
xiang zuo sha 	想做啥	c=1 d=1.14848e-11 t=20166
xiao 	小	c=7 d=0.099005 t=20166
xiao bu men 	小部門	c=1 d=6.63177e-22 t=20166
xiao dong xi 	小東西	c=1 d=2.9289e-25 t=20166
xiao du 	消毒	c=1 d=9.64917e-22 t=20166
xiao guo 	效果	c=9 d=0.0142459 t=20166
xiao guo bei 	效果唄	c=1 d=5.34789e-20 t=20166
xiao hai 	小孩	c=0 d=2.49203e-08 t=20166
xiao he shuang pin 	小鶴雙拼	c=2 d=0.995012 t=20166
xiao huo ban 	小夥伴	c=1 d=0.00647375 t=20166
xiao huo zi 	小夥子	c=1 d=7.46486e-20 t=20166
xiao lang hao 	小狼毫	c=1 d=3.79277e-07 t=20166
xiao le 	小了	c=1 d=4.39743e-12 t=20166
xiao lv 	效率	c=8 d=0.000731802 t=20166
xiao lv gong ju 	效率工具	c=1 d=2.48213e-19 t=20166
xiao mei mei 	小妹妹	c=1 d=8.07503e-15 t=20166
xiao neng 	效能	c=4 d=9.42727e-13 t=20166
xiao ni 	笑你	c=1 d=3.54611e-10 t=20166
xiao peng you 	小朋友	c=1 d=3.38017e-05 t=20166
xiao ping mu 	小屏幕	c=1 d=5.09503e-09 t=20166
xiao qu 	小區	c=1 d=7.47194e-25 t=20166
xiao qu fang le 	小區房了	c=1 d=1.6113e-24 t=20166
xiao qun 	小羣	c=1 d=4.19594e-19 t=20166
xiao shi 	小時	c=1 d=2.53338e-08 t=20166
xiao shi hou 	小時候	c=2 d=0.122492 t=20166
xiao shou ji 	小手機	c=1 d=9.42566e-11 t=20166
xiao shu 	小數	c=1 d=8.96749e-13 t=20166
xiao shu dian 	小數點	c=2 d=9.21858e-14 t=20166
xiao si 	笑死	c=2 d=2.34124e-08 t=20166
xiao wen ti 	小問題	c=3 d=0.00711891 t=20166
xiao xi 	消息	c=3 d=1.04457e-13 t=20166
xiao xi le 	消息了	c=1 d=1.19657e-23 t=20166
xiao xie 	小寫	c=1 d=2.43637e-06 t=20166
xiao xue 	小學	c=2 d=0.0386171 t=20166
xiao ying 	效應	c=1 d=1.292e-14 t=20166
xiao you 	小有	c=0 d=1.19987e-27 t=20166
xiao you cheng xiao 	小有成效	c=1 d=1.20588e-26 t=20166
xiao zi 	小子	c=1 d=0.000303539 t=20166
xiao zu 	小組	c=0 d=2.95221e-31 t=20166
xie 	些	c=10 d=9.05298e-05 t=20166
xie 	寫	c=9 d=0.0101529 t=20166
xie bin 	謝斌	c=1 d=2.14155e-18 t=20166
xie dao 	寫到	c=5 d=1.43238e-08 t=20166
xie de 	寫的	c=5 d=0.00463638 t=20166
xie hao 	寫好	c=1 d=5.97075e-22 t=20166
xie le 	寫了	c=1 d=9.43369e-21 t=20166
xie lv 	斜率	c=10 d=1.49262e-06 t=20166
xie pan 	些盤	c=1 d=6.01007e-11 t=20166
xie shang 	協商	c=1 d=5.62992e-07 t=20166
xie wan 	寫完	c=1 d=2.89729e-16 t=20166
xie wan le 	寫完了	c=1 d=2.91181e-15 t=20166
xie xia 	寫下	c=1 d=8.83699e-17 t=20166
xie xie 	謝謝	c=1 d=0.0176699 t=20166
xie xie ma 	謝謝嗎	c=1 d=0.0724398 t=20166
xie yi pian 	寫一篇	c=3 d=0.000534061 t=20166
xie zhu 	協助	c=1 d=6.75287e-29 t=20166
xie zuo 	協作	c=6 d=6.89531e-07 t=20166
xie zuo 	寫作	c=2 d=8.98612e-08 t=20166
xin 	新	c=11 d=0.401623 t=20166
xin 	薪	c=1 d=1.11241e-18 t=20166
xin ban 	新版	c=1 d=9.1328e-22 t=20166
xin de 	心得	c=1 d=0.0992613 t=20166
xin de 	新的	c=9 d=0.00530057 t=20166
xin dian nao 	新電腦	c=1 d=2.79574e-07 t=20166
xin dian nao le 	新電腦了	c=1 d=4.62919e-28 t=20166
xin fa 	心法	c=1 d=4.74315e-20 t=20166
xin hai 	辛亥	c=1 d=3.72729e-08 t=20166
xin jian 	新建	c=2 d=1.28897e-08 t=20166
xin li 	心裏	c=2 d=1.9906e-11 t=20166
xin pin 	新品	c=0 d=8.22808e-31 t=20166
xin shi dai 	新時代	c=1 d=3.62588e-07 t=20166
xin shou 	新手	c=1 d=2.1814e-29 t=20166
xin shou ji 	新手機	c=2 d=4.19716e-13 t=20166
xin si 	心思	c=2 d=0.000283018 t=20166
xin xi 	信息	c=2 d=1.65811e-08 t=20166
xin xian 	新鮮	c=1 d=3.03953e-20 t=20166
xin xin 	信心	c=1 d=3.10737e-15 t=20166
xin yong 	信用	c=1 d=4.90709e-08 t=20166
xin yu 	新宇	c=12 d=0.869358 t=20166
xing 	型	c=2 d=3.64343e-05 t=20166
xing 	性	c=10 d=0.000149474 t=20166
xing 	興	c=1 d=6.08722e-14 t=20166
xing 	行	c=8 d=0.0435067 t=20166
xing 	醒	c=1 d=1.08532e-22 t=20166
xing ba ke 	星巴克	c=1 d=1.0451e-19 t=20166
xing ba ke 	星爸客	c=1 d=8.34533e-20 t=20166
xing bei 	行唄	c=1 d=2.59055e-22 t=20166
xing bu tong 	行不通	c=1 d=0.33454 t=20166
xing bu xing 	行不行	c=1 d=2.03116e-13 t=20166
xing cheng 	形成	c=9 d=0.00977723 t=20166
xing cheng de 	形成的	c=1 d=1.03291e-28 t=20166
xing fen 	興奮	c=1 d=2.66165e-17 t=20166
xing ji 	星際	c=1 d=1.0915e-30 t=20166
xing kong 	星空	c=8 d=7.16435e-19 t=20166
xing neng 	性能	c=32 d=0.0071546 t=20166
xing neng tiao you 	性能調優	c=1 d=6.73544e-28 t=20166
xing qu 	興趣	c=1 d=1.07488e-26 t=20166
xing shi 	形式	c=6 d=0.00212284 t=20166
xing shi wen zui 	兴师问罪	c=1 d=5.16659e-26 t=20166
xing tai 	形態	c=4 d=0.00146207 t=20166
xing wei 	行爲	c=1 d=2.50409e-05 t=20166
xing yun 	幸運	c=1 d=2.27205e-08 t=20166
xing zhuang 	形狀	c=1 d=7.90276e-26 t=20166
xiong di 	兄弟	c=1 d=0.265803 t=20166
xiong di men 	兄弟們	c=1 d=4.98549e-18 t=20166
xiu 	休	c=0 d=2.86798e-14 t=20166
xiu 	修	c=1 d=4.14924e-05 t=20166
xiu bei 	修倍	c=1 d=2.12718e-27 t=20166
xiu de wu li 	休得無理	c=1 d=2.88235e-13 t=20166
xiu fu 	修復	c=1 d=7.30286e-09 t=20166
xiu gai 	修改	c=6 d=0.000398096 t=20166
xiu hao le 	修好了	c=1 d=2.15639e-11 t=20166
xiu xi 	休息	c=1 d=6.75147e-19 t=20166
xiu xi yi tian le 	休息一天了	c=1 d=2.70234e-19 t=20166
xiu xi yi xia 	休息一下	c=1 d=6.51506e-19 t=20166
xiu zheng 	修正	c=1 d=0.000510561 t=20166
xu 	虛	c=1 d=0.00802655 t=20166
xu 	需	c=1 d=0.00790705 t=20166
xu duo 	許多	c=8 d=4.30816e-06 t=20166
xu ji 	虚极	c=1 d=1.12846e-10 t=20166
xu ke 	許可	c=3 d=4.58433e-08 t=20166
xu lie 	序列	c=7 d=2.13637e-20 t=20166
xu ni 	虛擬	c=8 d=7.76316e-14 t=20166
xu ni huan jing 	虛擬環境	c=1 d=3.87664e-29 t=20166
xu ni ji 	虛擬機	c=3 d=3.92133e-09 t=20166
xu qiu 	需求	c=11 d=0.0115785 t=20166
xu yao 	需要	c=43 d=2.46086 t=20166
xu yao de 	需要的	c=1 d=1.57098e-20 t=20166
xuan 	宣	c=1 d=1.2536e-12 t=20166
xuan 	懸	c=1 d=4.3417e-09 t=20166
xuan 	選	c=6 d=0.0164465 t=20166
xuan de 	選的	c=1 d=2.58967e-18 t=20166
xuan ge 	選個	c=1 d=4.94613e-13 t=20166
xuan ji 	玄機	c=1 d=2.38813e-06 t=20166
xuan xiang 	選項	c=1 d=6.0246e-10 t=20166
xuan xing 	選型	c=2 d=2.51314e-18 t=20166
xuan ze 	選擇	c=21 d=0.190826 t=20166
xuan ze bu tong de mo xing 	選擇不同的模型	c=1 d=7.98219e-26 t=20166
xuan ze yi tiao 	選擇一條	c=1 d=7.43368e-12 t=20166
xue 	學	c=7 d=0.000275532 t=20166
xue 	雪	c=3 d=2.83545 t=20166
xue beng 	雪崩	c=1 d=1.28556e-14 t=20166
xue dao 	學到	c=1 d=4.14924e-06 t=20166
xue dao shen me le 	學到什麼了	c=1 d=4.17004e-05 t=20166
xue hui 	學會	c=1 d=4.34466e-17 t=20166
xue le ge 	學了個	c=1 d=4.62604e-20 t=20166
xue mei 	學妹	c=1 d=1.07693e-19 t=20166
xue mei 	血枚	c=0 d=8.13928e-21 t=20166
xue mei ne 	血枚呢	c=1 d=8.18008e-20 t=20166
xue shu 	學術	c=1 d=0.00227676 t=20166
xue shu xue 	學數學	c=1 d=5.3952e-06 t=20166
xue xi 	學習	c=26 d=1.19262 t=20166
xue xi dao de 	學習到的	c=1 d=1.46478e-20 t=20166
xue xi de 	學習的	c=2 d=2.42546e-12 t=20166
xue xi qu xian 	學習曲線	c=1 d=2.49457e-19 t=20166
xue xi shi jian 	學習實踐	c=1 d=4.43695e-29 t=20166
xue xi shi jian 	學習時間	c=1 d=4.90359e-29 t=20166
xue xi xue xi 	學習學習	c=1 d=1.53857e-10 t=20166
xun 	訓	c=1 d=4.61724e-27 t=20166
xun lian 	訓練	c=18 d=1.62225e-11 t=20166
xun lian ji 	訓練集	c=1 d=3.73173e-22 t=20166
xun qiu 	尋求	c=2 d=0.00334597 t=20166
xun shou shi 	馴獸師	c=1 d=3.46327e-26 t=20166
xun su 	迅速	c=1 d=0.377192 t=20166
xun zhao 	尋找	c=4 d=0.918512 t=20166
ya 	亞	c=0 d=5.65026e-21 t=20166
ya 	呀	c=8 d=0.0275983 t=20166
ya ce 	壓測	c=34 d=0.0113331 t=20166
ya ce de 	壓測的	c=2 d=2.54225e-22 t=20166
ya ce huan jing 	壓測環境	c=1 d=0.00927901 t=20166
ya gen er 	壓根兒	c=1 d=2.36557e-12 t=20166
ya li 	壓力	c=5 d=6.94433e-05 t=20166
ya zai 	壓在	c=0 d=2.69215e-05 t=20166
ya zai ta 	壓在他	c=1 d=0.000270565 t=20166
ya zhou 	亞洲	c=4 d=1.58992 t=20166
ya zi 	亞子	c=1 d=4.59984e-12 t=20166
yan 	煙	c=1 d=9.4581e-22 t=20166
yan 	眼	c=0 d=0.0878095 t=20166
yan chi 	延遲	c=2 d=1.10344e-11 t=20166
yan fa 	研發	c=7 d=2.58726e-06 t=20166
yan fa guo cheng 	研發過程	c=1 d=2.05968e-30 t=20166
yan ge 	嚴格	c=1 d=3.04377e-07 t=20166
yan hua le 	眼花了	c=1 d=0.882497 t=20166
yan jie 	眼界	c=1 d=0.000461975 t=20166
yan jin 	嚴禁	c=1 d=2.17466e-22 t=20166
yan jin 	演進	c=2 d=2.38711e-11 t=20166
yan jing 	眼睛	c=2 d=3.48489e-11 t=20166
yan jiu 	研究	c=6 d=0.00282213 t=20166
yan jiu yan jiu 	研究研究	c=2 d=5.04434e-09 t=20166
yan lian 	演練	c=2 d=0.00210264 t=20166
yan shen 	延伸	c=2 d=5.1578e-06 t=20166
yan shi 	演示	c=3 d=1.76908e-09 t=20166
yan shi bei 	演示唄	c=1 d=1.02371e-11 t=20166
yan shou 	驗收	c=1 d=2.60531e-30 t=20166
yan xu 	延續	c=1 d=9.24059e-13 t=20166
yan yao shui 	眼藥水	c=1 d=1.20113e-09 t=20166
yan yong 	沿用	c=0 d=5.60089e-06 t=20166
yan zhan 	延展	c=1 d=3.66033e-30 t=20166
yan zheng 	驗證	c=14 d=7.12269e-09 t=20166
yan zi 	眼子	c=1 d=0.000252273 t=20166
yang 	揚	c=2 d=1.65121e-14 t=20166
yang 	樣	c=3 d=1.12978e-06 t=20166
yang ben shu ju 	樣本數據	c=1 d=4.50401e-29 t=20166
yang de nei rong 	樣的內容	c=1 d=1.70861e-08 t=20166
yang li 	楊力	c=1 d=3.67868e-30 t=20166
yang sheng 	楊勝	c=9 d=0.000133953 t=20166
yang zi 	樣子	c=2 d=3.71703e-05 t=20166
yang zi de 	樣子的	c=1 d=5.36447e-27 t=20166
yang zi le 	樣子了	c=1 d=5.23113e-25 t=20166
yao 	妖	c=0 d=4.81811e-29 t=20166
yao 	藥	c=1 d=8.64847e-28 t=20166
yao 	要	c=98 d=3.70833 t=20166
yao bu 	要不	c=3 d=0.000241011 t=20166
yao bu yao 	要不要	c=8 d=0.0182781 t=20166
yao ce shi le 	要測試了	c=1 d=8.01947e-22 t=20166
